date,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-15,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,99930.93062499998
2024-02-02,99974.01656249998
2024-02-05,100017.10249999998
2024-02-06,100060.18843749998
2024-02-07,100103.27437499998
2024-02-08,100146.36031249998
2024-02-09,100189.44624999998
2024-02-12,100232.53218749998
2024-02-13,100275.61812499998
2024-02-14,100318.70406249998
2024-02-15,100361.78999999998
2024-02-16,100404.87593749998
2024-02-19,100447.96187499998
2024-02-20,100491.04781249998
2024-02-21,100534.13374999998
2024-02-22,100577.21968749998
2024-02-23,100571.135625
2024-02-26,100698.5965625
2024-02-27,100826.0575
2024-02-28,100953.5184375
2024-02-29,101080.979375
2024-03-01,101208.4403125
2024-03-04,101335.90125
2024-03-05,101463.3621875
2024-03-06,101590.823125
2024-03-07,101718.2840625
2024-03-08,101845.745
2024-03-11,101973.2059375
2024-03-12,102100.666875
2024-03-13,102228.1278125
2024-03-14,102355.58875
2024-03-15,102483.0496875
2024-03-18,102610.510625
2024-03-19,102737.9715625
2024-03-20,102865.4325
2024-03-21,102992.8934375
2024-03-22,103120.354375
2024-03-25,103247.8153125
2024-03-26,103375.27625
2024-03-27,103502.7371875
2024-03-28,103630.198125
2024-03-29,103757.6590625
2024-04-01,103885.12
2024-04-02,104012.5809375
2024-04-03,104140.041875
2024-04-04,104267.5028125
2024-04-05,104394.96375
2024-04-08,104522.4246875
2024-04-09,104649.885625
2024-04-10,104777.3465625
2024-04-11,104904.8075
2024-04-12,105032.2684375
2024-04-15,105159.729375
2024-04-16,105287.1903125
2024-04-17,105414.65125
2024-04-18,105542.1121875
2024-04-19,105669.573125
2024-04-22,105797.0340625
2024-04-23,105924.495
2024-04-24,106051.9559375
2024-04-25,106179.416875
2024-04-26,106306.8778125
2024-04-29,106434.33875
2024-04-30,106561.7996875
2024-05-01,106689.260625
2024-05-02,106816.7215625
2024-05-03,106944.1825
2024-05-06,107071.6434375
2024-05-07,107199.104375
2024-05-08,107326.5653125
2024-05-09,107454.02625
2024-05-10,107581.4871875
2024-05-13,107708.948125
2024-05-14,107836.4090625
2024-05-15,107963.87
2024-05-16,108091.3309375
2024-05-17,108218.791875
2024-05-20,108346.2528125
2024-05-21,108473.71375
2024-05-22,108601.1746875
2024-05-23,108728.635625
2024-05-24,108856.0965625
2024-05-27,108983.5575
2024-05-28,109111.0184375
2024-05-29,109238.479375
2024-05-30,109365.9403125
2024-05-31,109493.40125
2024-06-03,109620.8621875
2024-06-04,109748.323125
2024-06-05,109875.7840625
2024-06-06,110003.245
2024-06-07,110130.7059375
2024-06-10,110258.166875
2024-06-11,110385.6278125
2024-06-12,110513.08875
2024-06-13,110640.5496875
2024-06-14,110768.010625
2024-06-17,110895.4715625
2024-06-18,111022.9325
2024-06-19,111150.3934375
2024-06-20,111277.854375
2024-06-21,111405.3153125
2024-06-24,111532.77625
2024-06-25,111660.2371875
2024-06-26,111787.698125
2024-06-27,111915.1590625
2024-06-28,112042.62
